cik,name,tickers,exchanges,entity_type,sic,state_of_incorporation,filing_date,report_date,url,file_size_in_bytes,download_success,download_error,word_count,report_year,original_row_number,reason_type,dedup_action,dedup_rule,accession_number
0001766981,Ford Credit Auto Lease Trust 2019-A,,,operating,6189.0,DE,2020-03-25,2019-12-31,https://www.sec.gov/Archives/edgar/data/1766981/000176698120000014/a10-kxpubliclease2019xa2019.htm,246115,True,,2762.0,2019,154083,,kept,kept_unflagged_or_reason1,0001766981-20-000014
0000885568,OLD DOMINION ELECTRIC COOPERATIVE,,,operating,4911.0,VA,2007-03-20,2006-12-31,https://www.sec.gov/Archives/edgar/data/885568/000119312507059049/d10k.htm,1028093,True,,53174.0,2006,39304,,kept,kept_unflagged_or_reason1,0001193125-07-059049
0001134016,MIDWEST GENERATION LLC,,,operating,4991.0,DE,2006-03-07,2005-12-31,https://www.sec.gov/Archives/edgar/data/1134016/000104746906002942/a2167827z10-k.htm,1432373,True,,52760.0,2005,76638,,kept,kept_unflagged_or_reason1,0001047469-06-002942
0000868278,"ProPhase Labs, Inc.",PRPH,OTC,operating,2834.0,DE,2024-03-29,2023-12-31,https://www.sec.gov/Archives/edgar/data/868278/000086827824000004/prph-20231231.htm,18788453,True,,67754.0,2023,36056,,kept,kept_unflagged_or_reason1,0000868278-24-000004
0000749251,GARTNER INC,IT,NYSE,operating,8741.0,DE,2022-02-23,2021-12-31,https://www.sec.gov/Archives/edgar/data/749251/000074925122000006/it-20211231.htm,14741385,True,,49092.0,2021,22722,,kept,kept_unflagged_or_reason1,0000749251-22-000006
0001198415,"Altegris Winton Futures Fund, L.P.",,,operating,6221.0,CO,2019-03-29,2018-12-31,https://www.sec.gov/Archives/edgar/data/1198415/000168316819000823/awff_10k-123118.htm,4210778,True,,31101.0,2018,84014,,kept,kept_unflagged_or_reason1,0001683168-19-000823
0000023197,COMTECH TELECOMMUNICATIONS CORP /DE/,CMTL,Nasdaq,operating,3663.0,DE,2021-10-04,2021-07-31,https://www.sec.gov/Archives/edgar/data/23197/000002319721000082/cmtl-20210731.htm,15949820,True,,80452.0,2021,2940,,kept,kept_unflagged_or_reason1,0000023197-21-000082
0000355948,"RICHARDSON ELECTRONICS, LTD.",RELL,Nasdaq,operating,5065.0,DE,2023-07-31,2023-05-27,https://www.sec.gov/Archives/edgar/data/355948/000095017023035840/rell-20230527.htm,18984188,True,,35700.0,2023,17028,,kept,kept_unflagged_or_reason1,0000950170-23-035840
0001005817,TOMPKINS FINANCIAL CORP,TMP,NYSE,operating,6022.0,NY,2020-03-02,2019-12-31,https://www.sec.gov/Archives/edgar/data/1005817/000100581720000005/tmp-20191231x10k.htm,35386685,True,,88283.0,2019,52588,,kept,kept_unflagged_or_reason1,0001005817-20-000005
0001097896,"Big Tree Group, Inc.",,,operating,3944.0,,2014-05-14,2013-12-31,https://www.sec.gov/Archives/edgar/data/1097896/000144878814000041/bigg10-k.htm,6219491,True,,53487.0,2013,70877,,kept,kept_unflagged_or_reason1,0001448788-14-000041
0001085243,"VirTra, Inc",VTSI,Nasdaq,operating,3990.0,NV,2024-04-01,2023-12-31,https://www.sec.gov/Archives/edgar/data/1085243/000149315224012364/form10-k.htm,6839880,True,,37846.0,2023,68018,,kept,kept_unflagged_or_reason1,0001493152-24-012364
0000064472,GENCOR INDUSTRIES INC,GENC,NYSE,operating,3531.0,DE,2003-12-29,2003-09-30,https://www.sec.gov/Archives/edgar/data/64472/000119312503099730/d10k.htm,707999,True,,14838.0,2003,7458,,kept,kept_unflagged_or_reason1,0001193125-03-099730
0001353615,Invesco CurrencyShares Swiss Franc Trust,FXF,NYSE,operating,6221.0,NY,2019-01-11,2018-10-31,https://www.sec.gov/Archives/edgar/data/1353615/000119312519007538/d678080d10k.htm,1732041,True,,18695.0,2018,103821,,kept,kept_unflagged_or_reason1,0001193125-19-007538
0000351532,"STEM CELL INNOVATIONS, INC.",,,operating,2836.0,DE,2003-08-05,2002-12-31,https://www.sec.gov/Archives/edgar/data/351532/000035153203000018/isi10k2003.txt,235181,True,,31257.0,2002,16262,,kept,kept_unflagged_or_reason1,0000351532-03-000018
0001445194,ASIA HEALTH & BEAUTY TREASURE INC,,,operating,6770.0,DE,2009-11-12,2009-07-31,https://www.sec.gov/Archives/edgar/data/1445194/000121390009003095/f10k2009_asiahealth.htm,434718,True,,8747.0,2009,122489,,kept,kept_unflagged_or_reason1,0001213900-09-003095
0001284766,WHITE MOUNTAIN TITANIUM CORP,,,operating,1000.0,NV,2010-03-31,2009-12-31,https://www.sec.gov/Archives/edgar/data/1284766/000114420410017176/v179400_10k.htm,2031058,True,,28912.0,2009,91297,,kept,kept_unflagged_or_reason1,0001144204-10-017176
0001642375,"Guardion Health Sciences, Inc.",,,operating,2834.0,DE,2022-03-31,2021-12-31,https://www.sec.gov/Archives/edgar/data/1642375/000149315222008581/form10-k.htm,7682636,True,,47967.0,2021,145723,,kept,kept_unflagged_or_reason1,0001493152-22-008581
0001507385,"VEREIT, Inc.",,,operating,6798.0,,2018-02-22,2017-12-31,https://www.sec.gov/Archives/edgar/data/1507385/000150738518000030/combvereit1231201710kdoc.htm,126309729,True,,149184.0,2017,129959,,kept,kept_unflagged_or_reason1,0001507385-18-000030
0001141517,"LAWSON SOFTWARE AMERICAS, INC",,,operating,7372.0,DE,2002-08-26,2002-05-31,https://www.sec.gov/Archives/edgar/data/1141517/000091205702033519/a2087769z10-k.htm,676035,True,,31962.0,2002,77831,,kept,kept_unflagged_or_reason1,0000912057-02-033519
0001559856,SLM Student Loan Trust 2012-7,,,operating,6189.0,,2023-03-31,2022-12-31,https://www.sec.gov/Archives/edgar/data/1559856/000114036123015253/brhc10049688_10k.htm,958825,True,,5313.0,2022,136206,,kept,kept_unflagged_or_reason1,0001140361-23-015253
